시군구,번지,본번,부번,단지명,전용면적,계약년월,계약일,거래금액,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
강원특별자치도 강릉시 견소동,202,202,0,송정한신,43.38,202308,30,"16,400",10,1997,경강로2539번길 8,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202308,19,"24,500",5,2005,경강로2539번길 23,,20230904,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202308,22,"28,500",4,2005,경강로2539번길 22,,20230829,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202308,29,"32,500",15,2005,경강로2539번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202309,2,"35,500",10,2005,경강로2539번길 22,20230921, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202309,2,"35,500",10,2005,경강로2539번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202309,2,"35,500",10,2005,경강로2539번길 22,20230922, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,202308,17,"37,500",4,2009,화부산로111번길 24,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1750,1750,0,교동1주공,59.89,202308,30,"20,000",1,1999,가작로 78,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1750,1750,0,교동1주공,49.85,202309,4,"17,500",5,1999,가작로 78,,20230906,직거래,-
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.84,202308,24,"27,500",2,2002,교동광장로 138-12,20231005, ,직거래,-
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.74,202308,24,"27,500",2,2002,교동광장로 138-12,, ,직거래,-
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.74,202308,26,"28,600",12,2002,교동광장로 138-12,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.74,202308,29,"27,000",7,2002,교동광장로 138-12,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.74,202308,30,"28,800",14,2002,교동광장로 138-12,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.86,202309,4,"26,500",12,2002,교동광장로 138-12,20231005, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.86,202309,4,"26,500",12,2002,교동광장로 138-12,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,84.98,202308,22,"22,400",3,1997,수리골길17번길 21,,20230920,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,84.98,202308,22,"22,400",3,1997,수리골길17번길 21,20230901, ,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,59.84,202308,22,"17,500",11,1997,수리골길17번길 21,,20230911,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,84.98,202309,4,"21,700",18,1997,수리골길17번길 21,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1775,1775,0,부영6,84.9763,202308,21,"29,800",5,2003,정원로 53-9,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,Mar-37,37,3,예성그린1,56.16,202308,23,"11,000",4,1995,가작로252번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,202308,31,"15,500",10,1992,화부산로 29,, ,중개거래,강릉시
강원특별자치도 강릉시 남문동,183-2,183,2,삼익그린맨션,127.311,202309,4,"29,800",3,1992,홍제로 7-17,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,127,127,0,남산삼익,84.48,202309,4,"19,000",6,1993,남부로125번길 37,,20230921,중개거래,강릉시
강원특별자치도 강릉시 내곡동,127,127,0,남산삼익,84.48,202309,4,"20,000",6,1993,남부로125번길 37,20230907, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,623,623,0,내곡주공,39.3,202308,29,"10,500",3,1989,관대길16번길 6,,20230920,직거래,-
강원특별자치도 강릉시 내곡동,623,623,0,내곡주공,39.69,202308,29,"10,500",3,1989,관대길16번길 6,,20230904,직거래,-
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,59.97,202308,16,"17,000",11,1997,강변로 114,,20230821,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,84.95,202308,17,"23,000",8,1997,강변로 114,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,59.97,202308,18,"16,000",14,1997,강변로 114,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,59.97,202308,31,"17,500",6,1997,강변로 114,, ,중개거래,강릉시
강원특별자치도 강릉시 노암동,610,610,0,노암남산현대,59.84,202309,3,"16,800",3,1998,남부로125번길 11,,20230925,중개거래,강릉시
강원특별자치도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.837,202308,21,"86,500",7,2007,해안로 93-8,,20230921,중개거래,강릉시
강원특별자치도 강릉시 송정동,940-23,940,23,대림맨션,84.99,202308,28,"22,000",13,1991,남강초교2길 44,,20230907,중개거래,강릉시
강원특별자치도 강릉시 송정동,940,940,0,삼우은성,84.96,202308,16,"21,500",10,1992,남강초교1길 55,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,Oct-39,39,10,삼익비치맨션,84.544,202309,2,"26,000",7,1992,해안로 107,,20230926,중개거래,강릉시
강원특별자치도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202308,19,"46,500",4,2019,경강로 2511,,20230913,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,336-1,336,1,근화,59.36,202308,28,"10,500",3,1997,영진2길 12-3,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202308,16,"8,900",7,1999,연주로 132,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,30,"5,700",11,1999,연주로 132,,20230830,직거래,-
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,30,"5,400",2,1999,연주로 132,,20230830,직거래,-
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202308,17,"15,000",5,2005,영진3길 43,,20230822,직거래,-
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202308,22,"16,700",3,2005,영진3길 43,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202308,25,"20,000",8,2005,영진3길 43,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202308,16,"25,200",5,2008,영진3길 15,,20230830,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,36.3455,202308,16,"22,400",16,2019,홍질목길 12,,20230818,직거래,-
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202308,29,"15,400",15,2019,홍질목길 12,,20231004,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202308,29,"14,000",10,2019,홍질목길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,28.1602,202308,29,"15,600",16,2019,홍질목길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 유천동,781,781,0,강릉유천유승한내들더퍼스트,109.791,202308,22,"85,000",15,2021,선수촌로 79-14,,20230922,중개거래,강릉시
강원특별자치도 강릉시 임당동,Jan-67,67,1,임당상가,70.75,202308,28,"9,200",3,1984,문화의길7번길 8,,20230927,중개거래,강릉시
강원특별자치도 강릉시 입암동,711,711,0,강릉더샵,84.94,202308,22,"31,800",1,2014,입암로29번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,123.65,202308,18,"39,800",15,2007,성덕로 328-15,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,202308,26,"30,300",8,2007,성덕로 328-15,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,202309,4,"31,800",6,2007,성덕로 328-15,, ,직거래,-
강원특별자치도 강릉시 입암동,499-64,499,64,대목(A단지),49.86,202308,21,"6,400",5,1987,용지로 48,,20230908,직거래,-
강원특별자치도 강릉시 입암동,550-20,550,20,삼동광업소사원,43.47,202308,30,"3,000",5,1988,월대산로 21,,20230914,직거래,-
강원특별자치도 강릉시 입암동,543-3,543,3,에버그린,59.85,202308,16,"15,000",9,2000,강변로440번길 30,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,543-3,543,3,에버그린,59.85,202308,25,"15,000",9,2000,강변로440번길 30,20231005, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,May-90,90,5,은하,39.85,202308,16,"5,900",5,2001,월대산로 47,,20230908,직거래,-
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202308,23,"21,000",8,2006,성덕로 316-22,,20230823,직거래,-
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202308,29,"29,400",14,2006,성덕로 316-22,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암4주공,59.8,202309,1,"15,000",4,1996,성덕포남로 89,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암5주공,49.97,202308,23,"12,900",14,1996,성덕포남로 89-17,,20230901,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암5주공,49.97,202309,4,"13,550",12,1996,성덕포남로 89-17,,20231004,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,16,"13,000",11,1998,성덕포남로 39,,20230922,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202308,18,"14,800",15,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,21,"13,900",11,1998,성덕포남로 39,20230831, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,21,"12,400",5,1998,성덕포남로 39,,20230823,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,21,"13,900",11,1998,성덕포남로 39,,20231004,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202308,28,"15,800",1,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,30,"13,000",10,1998,성덕포남로 39,,20230915,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,31,"13,800",12,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202308,22,"30,000",4,2019,월대산로 23,,20230913,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202308,22,"30,300",6,2019,월대산로 23,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202309,1,"29,980",7,2019,월대산로 23,, ,중개거래,강릉시
